./demo_corewar -v 8 valid_champs/Survivor.cor valid_champs/jumper.cor 

Introducing contestants...
* Player 1, weighing 39 bytes, "Survivor" ("Invincible") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
Process 15 hasn't lived for 1700 cycles (CTD 1336)
Process 25 hasn't lived for 1366 cycles (CTD 1286)
Process 23 hasn't lived for 1655 cycles (CTD 1286)
Process 21 hasn't lived for 1669 cycles (CTD 1286)
Process 32 hasn't lived for 1271 cycles (CTD 1236)
Process 30 hasn't lived for 1285 cycles (CTD 1236)
Process 43 hasn't lived for 1684 cycles (CTD 1136)
Process 53 hasn't lived for 1150 cycles (CTD 1086)
Process 51 hasn't lived for 1439 cycles (CTD 1086)
Process 49 hasn't lived for 1453 cycles (CTD 1086)
Process 64 hasn't lived for 1552 cycles (CTD 986)
Process 71 hasn't lived for 1157 cycles (CTD 936)
Process 69 hasn't lived for 1171 cycles (CTD 936)
Process 88 hasn't lived for 856 cycles (CTD 836)
Process 84 hasn't lived for 970 cycles (CTD 836)
Process 82 hasn't lived for 1259 cycles (CTD 836)
Process 80 hasn't lived for 1273 cycles (CTD 836)
Process 73 hasn't lived for 856 cycles (CTD 836)
Process 94 hasn't lived for 872 cycles (CTD 736)
Process 92 hasn't lived for 1161 cycles (CTD 736)
Process 90 hasn't lived for 1175 cycles (CTD 736)
Process 101 hasn't lived for 863 cycles (CTD 636)
Process 99 hasn't lived for 877 cycles (CTD 636)
Process 97 hasn't lived for 693 cycles (CTD 636)
Process 105 hasn't lived for 758 cycles (CTD 586)
Process 104 hasn't lived for 772 cycles (CTD 586)
Process 103 hasn't lived for 1160 cycles (CTD 586)
Process 96 hasn't lived for 758 cycles (CTD 586)
Process 95 hasn't lived for 772 cycles (CTD 586)
Process 98 hasn't lived for 91 cycles (CTD 86)
Process 75 hasn't lived for 93 cycles (CTD 86)
Process 74 hasn't lived for 107 cycles (CTD 86)
Process 70 hasn't lived for 94 cycles (CTD 86)
Process 68 hasn't lived for 108 cycles (CTD 86)
Process 67 hasn't lived for 92 cycles (CTD 86)
Process 63 hasn't lived for 93 cycles (CTD 86)
Process 47 hasn't lived for 119 cycles (CTD 86)
Process 45 hasn't lived for 110 cycles (CTD 86)
Process 40 hasn't lived for 111 cycles (CTD 86)
Process 37 hasn't lived for 109 cycles (CTD 86)
Process 34 hasn't lived for 99 cycles (CTD 86)
Process 33 hasn't lived for 110 cycles (CTD 86)
Process 26 hasn't lived for 95 cycles (CTD 86)
Process 20 hasn't lived for 95 cycles (CTD 86)
Process 8 hasn't lived for 114 cycles (CTD 86)
Process 2 hasn't lived for 96 cycles (CTD 86)
Process 102 hasn't lived for 66 cycles (CTD 36)
Process 100 hasn't lived for 113 cycles (CTD 36)
Process 93 hasn't lived for 112 cycles (CTD 36)
Process 91 hasn't lived for 38 cycles (CTD 36)
Process 89 hasn't lived for 52 cycles (CTD 36)
Process 87 hasn't lived for 36 cycles (CTD 36)
Process 86 hasn't lived for 83 cycles (CTD 36)
Process 85 hasn't lived for 97 cycles (CTD 36)
Process 83 hasn't lived for 37 cycles (CTD 36)
